tconst,primaryTitle,startYear,genres
tt0066025,The Liar,1970,Drama
tt0066032,Machismo: 40 Graves for 40 Guns,1971,"Crime,Western"
tt0066033,Macho Callahan,1970,Western
tt0066034,Madron,1970,Western
tt0066035,The Falcons,1970,Drama
tt0066036,The Magic Garden of Stanley Sweetheart,1970,Drama
tt0066038,The Magnificent Robin Hood,1970,Adventure
tt0066040,Don't Deliver Us from Evil,1971,"Drama,Horror"
tt0066041,The House of the Bories,1970,"Drama,Romance"
tt0066042,The House,1970,Comedy
tt0066049,A Man Called Horse,1970,"Adventure,Drama,Western"
tt0066050,A Man Called Sledge,1970,Western
tt0066052,The Man Who Had Power Over Women,1970,Comedy
tt0066053,The Man Who Haunted Himself,1970,Thriller
tt0066056,The Man from O.R.G.Y.,1970,"Comedy,Crime"
tt0066058,Mark of the Witch,1970,Horror
tt0066063,Bedroom Mazurka,1970,Comedy
tt0066064,The McKenzie Break,1970,"Action,Drama,War"
tt0066067,My Zero Hour,1970,"Comedy,War"
tt0066072,Temperate Zone,1970,Drama
tt0066077,Moon and Midnight,1970,Horror
tt0066078,Michael the Brave,1971,"Action,Biography,Drama"
tt0066080,The Mind of Mr. Soames,1970,"Drama,Sci-Fi"
tt0066081,Good-Bye Nana,1970,Drama
tt0066086,Miss Nymphet's Zap-In,1970,Comedy
tt0066089,The Modification,1970,Drama
tt0066090,The Molly Maguires,1970,"Drama,History"
tt0066093,Monte Walsh,1970,Western
tt0066095,Moonfire,1970,"Action,Adventure,Drama"
tt0066096,The Moonshine War,1970,"Comedy,Crime,Drama"
tt0066098,Death Occurred Last Night,1970,"Crime,Drama,Thriller"
tt0066099,Up Your Teddy Bear,1970,"Comedy,Fantasy,Romance"
tt0066102,Move,1970,"Comedy,Fantasy"
tt0066108,Atlantic Wall,1970,"Comedy,War"
tt0066109,The Music Lovers,1971,"Biography,Comedy,Drama"
tt0066113,"My Lover, My Son",1970,Drama
tt0066115,Myra Breckinridge,1970,Comedy
tt0066116,The Brutes,1970,"Drama,Thriller"
tt0066121,On the Comet,1970,"Adventure,Comedy,Sci-Fi"
tt0066122,Deep End,1970,"Comedy,Drama,Romance"
tt0066124,The Beginning,1970,"Drama,Romance"
tt0066126,The Losers,1970,"Action,Drama,Thriller"
tt0066130,Ned Kelly,1970,"Biography,Crime,Drama"
tt0066132,Web of the Spider,1971,Horror
tt0066136,"It Is Not the Homosexual Who Is Perverse, But the Society in Which He Lives",1971,"Documentary,Drama"
tt0066141,The Night Visitor,1971,"Crime,Horror,Thriller"
tt0066143,Night of the Bloody Transplant,1970,Horror
tt0066144,The Night of the Sorcerers,1974,"Adventure,Horror"
tt0066145,Night of the Witches,1970,"Comedy,Crime,Horror"
tt0066148,Brave Red Flower of the North,1970,Crime
tt0066151,Ninja Destroyer,1986,"Action,Adventure"
tt0066154,No Blade of Grass,1970,"Drama,Sci-Fi"
tt0066156,No Place to Hide,1973,Thriller
tt0066160,The Werewolf Versus the Vampire Woman,1971,Horror
tt0066161,Repulsion to Dogs,1970,Drama
tt0066162,Norwood,1970,Comedy
tt0066167,Light the Fuse... Sartana Is Coming,1970,Western
tt0066168,The Key to Paradise,1970,"Comedy,Family"
tt0066169,O Happy Day,1970,Drama
tt0066171,O.K.,1970,"Drama,War"
tt0066174,Oddly Coupled,1970,Comedy
tt0066177,Slap in the Face,1970,Comedy
tt0066181,On a Clear Day You Can See Forever,1970,"Comedy,Drama,Fantasy"
tt0066182,Once in a Lifetime,1970,"Documentary,Sport"
